150, PA5-A-Debug-Output.txt
 -220.4846,   236.8613,   -43.3103,   -69.5968,   -15.0548,     5.7903
  -38.3723    -2.7296   -37.9756   -38.3957    -2.7342   -37.9502     0.0348
  -12.6451   -29.7802   -33.3718   -12.6509   -29.7745   -33.3721     0.0082
   15.8019    23.6974   -29.4340    15.7723    23.7166   -29.4356     0.0353
   24.6954    15.4025    23.0308    24.7042    15.4071    23.0220     0.0132
   -2.4774    -8.4360   -33.3925    -2.4938    -8.4249   -33.3926     0.0198
  -14.6404   -32.7238   -26.8006   -14.6405   -32.7214   -26.8004     0.0024
   10.6115    18.3160   -13.7278    10.5947    18.3269   -13.7273     0.0201
  -10.5752    10.9959   -16.8982   -10.5911    10.9976   -16.8861     0.0200
   -0.3911    11.6880    -4.0563    -0.3988    11.6900    -4.0504     0.0098
   -6.9664   -24.3179    -9.7549    -6.9596   -24.3177    -9.7566     0.0070
  -19.8506    24.2817    15.7369   -19.8526    24.2674    15.7603     0.0275
   38.9642     7.1156   -18.1198    38.9511     7.1417   -18.1418     0.0366
  -17.0194    27.3461    15.2068   -17.0232    27.3334    15.2292     0.0261
   23.3280    -2.4668    69.7296    23.3758    -2.4800    69.7172     0.0512
    9.4589    14.1377    63.8531     9.4940    14.1202    63.8551     0.0393
    4.5667     6.3809    69.6267     4.6093     6.3588    69.6296     0.0481
   24.5340    -1.2966   -33.6605    24.5148    -1.2721   -33.6762     0.0349
  -11.9096    10.3808   -24.5326   -11.9301    10.3845   -24.5201     0.0243
   14.6927    -8.9280     5.6963    14.7023    -8.9226     5.6858     0.0153
  -33.9581   -18.0916   -42.9480   -33.9767   -18.0925   -42.9308     0.0254
   -3.3974    15.1616    37.1519    -3.3804    15.1475    37.1620     0.0243
   20.5157    -9.9432    -3.8202    20.5200    -9.9315    -3.8352     0.0195
   -1.8343     3.3592    69.1265    -1.7907     3.3342    69.1326     0.0507
  -14.5760   -14.7561    -1.2386   -14.5689   -14.7625    -1.2319     0.0117
   -8.7816     2.3391    34.2611    -8.7601     2.3231    34.2705     0.0284
   11.9170    -8.2590   -22.5748    11.9080    -8.2447   -22.5841     0.0192
    7.8732    18.9667    33.1716     7.8861    18.9595    33.1754     0.0152
  -14.1102     9.7630     9.4173   -14.1087     9.7534     9.4320     0.0176
  -26.0472     8.1657   -34.5733   -26.0735     8.1660   -34.5525     0.0336
   23.8931    19.7957   -30.4334    23.8652    19.8191   -30.4417     0.0374
   37.5027    13.9054     3.5068    37.5001    13.9232     3.4886     0.0256
    9.3228    17.5763   -10.8493     9.3081    17.5855   -10.8481     0.0174
   26.6518     9.4468    29.1245    26.6676     9.4501    29.1127     0.0200
   34.0116     1.7544     9.0169    34.0186     1.7683     8.9972     0.0251
   -4.9075   -22.1005   -33.5872    -4.9171   -22.0908   -33.5902     0.0140
   24.6012    -1.4957    62.3680    24.6438    -1.5056    62.3549     0.0457
  -43.4422    -9.2113   -37.9213   -43.4625    -9.2185   -37.8947     0.0342
   -6.8428    17.5150     6.6343    -6.8468    17.5102     6.6466     0.0138
    8.2052    18.2702   -10.0129     8.1907    18.2786   -10.0107     0.0169
  -38.6085   -14.3072   -41.2650   -38.6281   -14.3110   -41.2434     0.0295
   20.3369    27.7112   -21.6295    20.3105    27.7299   -21.6326     0.0325
  -12.7615   -14.0793   -43.8918   -12.7820   -14.0696   -43.8873     0.0232
   20.9379    13.6515    39.6717    20.9581    13.6482    39.6653     0.0215
   33.3841    -4.3870    -2.7030    33.3866    -4.3693    -2.7246     0.0281
   -4.0966     9.0075    -9.5806    -4.1066     9.0096    -9.5733     0.0125
  -40.3735   -16.6690    -9.9933   -40.3719   -16.6849    -9.9705     0.0279
   -2.5542    -6.1342    69.1857    -2.5057    -6.1599    69.1892     0.0550
   25.0915     8.3895    40.7850    25.1153     8.3877    40.7742     0.0262
  -11.8839   -28.2658   -35.4585   -11.8918   -28.2588   -35.4589     0.0105
   12.5003    26.9168     4.4654    12.4908    26.9223     4.4679     0.0112
   -7.3472   -19.6016    -3.6930    -7.3389   -19.6037    -3.6928     0.0086
   35.9241    -3.6864   -23.2619    35.9131    -3.6602   -23.2856     0.0370
  -37.3460   -21.6517   -10.2966   -37.3419   -21.6661   -10.2773     0.0244
    9.9518     0.7347   -24.0705     9.9372     0.7487   -24.0756     0.0208
   25.6793     2.7246    50.3780    25.7122     2.7197    50.3652     0.0356
  -27.9329    13.1398   -20.2939   -27.9526    13.1343   -20.2698     0.0316
   11.8471    20.3709    35.2372    11.8607    20.3650    35.2388     0.0150
    1.5697    11.9235    50.7406     1.5973    11.9068    50.7467     0.0328
   18.7905    11.7633    59.6721    18.8245    11.7518    59.6671     0.0362
   -8.3579     6.4296    -3.3491    -8.3627     6.4274    -3.3397     0.0108
    7.8543   -11.3583     5.8868     7.8651   -11.3563     5.8800     0.0129
  -36.0833    -9.3799   -42.7790   -36.1063    -9.3818   -42.7574     0.0316
   25.0521    -1.6632    47.7444    25.0855    -1.6676    47.7305     0.0364
    7.3646    18.2072    35.8749     7.3796    18.1987    35.8788     0.0176
    3.1687    -6.7525   -26.5392     3.1561    -6.7410   -26.5423     0.0173
   11.9337    17.9722    44.2148    11.9544    17.9630    44.2159     0.0226
   17.6092   -14.7671   -15.2657    17.6084   -14.7528   -15.2807     0.0207
   25.6571    -2.6231    28.9173    25.6788    -2.6205    28.9021     0.0266
   13.3208   -16.4029    -7.0707    13.3260   -16.3936    -7.0832     0.0163
   -9.2143     2.0548    30.0685    -9.1953     2.0401    30.0779     0.0258
  -19.6460    17.6027    20.9954   -19.6411    17.5864    21.0166     0.0271
   -9.8968   -29.4957   -29.7727    -9.9003   -29.4899   -29.7747     0.0071
   31.0429    14.9429   -31.1504    31.0172    14.9700   -31.1650     0.0401
    1.7753    11.5013    -7.1912     1.7658    11.5055    -7.1869     0.0112
  -16.2594     4.8572    -8.2188   -16.2667     4.8528    -8.2048     0.0164
   25.8861    -0.1235    45.8945    25.9175    -0.1269    45.8805     0.0345
   14.6332     4.2011   -25.9105    14.6158     4.2181   -25.9176     0.0253
    1.6043     8.5286   -16.4011     1.5904     8.5359   -16.3979     0.0160
   -9.4773     3.7367   -35.2591    -9.5013     3.7453   -35.2507     0.0268
   19.3084    27.4591     2.5327    19.2976    27.4686     2.5309     0.0145
   26.1366     0.4016    44.3419    26.1668     0.3990    44.3279     0.0334
   20.9453    -5.8851    54.7456    20.9852    -5.8941    54.7332     0.0427
  -11.7812    18.6929     7.2144   -11.7855    18.6854     7.2304     0.0182
   22.7843    26.5397   -25.1917    22.7562    26.5608   -25.1968     0.0355
  -22.5369   -23.3655   -44.0868   -22.5532   -23.3606   -44.0788     0.0188
   24.5823    -6.4519    -1.0174    24.5867    -6.4392    -1.0339     0.0213
  -11.8758   -16.1407   -43.9076   -11.8953   -16.1306   -43.9043     0.0222
    6.4288    23.6830     9.9308     6.4243    23.6835     9.9364     0.0072
   24.8275    17.6291   -31.3970    24.8001    17.6533   -31.4066     0.0378
    8.6373     0.8069   -23.3287     8.6231     0.8200   -23.3329     0.0198
   -5.5860    19.5655     6.8923    -5.5908    19.5612     6.9044     0.0138
  -20.5014    22.7457    19.7458   -20.5000    22.7296    19.7692     0.0284
  -12.2124     6.1297    -7.9066   -12.2201     6.1272    -7.8948     0.0143
   35.7075    -3.9472   -20.7612    35.6983    -3.9219   -20.7847     0.0357
    9.3037    22.2209   -22.4785     9.2792    22.2345   -22.4761     0.0281
   34.3541     1.2673   -29.3886    34.3366     1.2950   -29.4098     0.0391
    9.5354    -9.2473   -22.8891     9.5266    -9.2341   -22.8972     0.0178
  -33.4165   -27.0764   -11.5843   -33.4103   -27.0885   -11.5694     0.0201
   37.4917    14.1577     3.1143    37.4887    14.1756     3.0961     0.0257
   12.0156   -16.2335    -6.2649    12.0211   -16.2252    -6.2764     0.0152
   32.2980    18.1172   -24.0975    32.2752    18.1424   -24.1116     0.0368
  -11.9911    -3.5880     9.4803   -11.9826    -3.5968     9.4893     0.0151
   -8.5204     6.7037    -1.1088    -8.5239     6.7006    -1.0991     0.0108
   -1.9997    17.0152     3.8849    -2.0050    17.0136     3.8938     0.0104
    3.8208    -9.0325    18.9875     3.8387    -9.0371    18.9844     0.0187
  -24.8356   -21.2937   -44.8647   -24.8536   -21.2896   -44.8545     0.0210
  -32.6601     7.4854   -31.8107   -32.6846     7.4815   -31.7856     0.0352
  -36.6858     0.1243   -37.5261   -36.7103     0.1204   -37.5009     0.0353
   33.3512    18.1375    -6.7228    33.3397    18.1570    -6.7373     0.0268
   20.6690    -5.0053    19.0458    20.6854    -5.0016    19.0329     0.0212
   18.1770    -8.8188   -22.5297    18.1685    -8.8015   -22.5433     0.0235
   23.9310     6.8722    57.1462    23.9660     6.8640    57.1361     0.0374
    7.4283    11.5029   -12.6390     7.4155    11.5117   -12.6386     0.0156
   -7.6192     7.0462    -2.3817    -7.6236     7.0440    -2.3726     0.0104
   -2.4411   -16.7874   -36.7053    -2.4554   -16.7753   -36.7082     0.0189
   17.5974    -5.2124    16.3246    17.6121    -5.2093    16.3136     0.0186
   25.5198   -10.6728   -12.5352    25.5190   -10.6556   -12.5540     0.0255
   -2.1358   -22.3699   -30.8280    -2.1434   -22.3598   -30.8328     0.0135
  -15.1185     6.7011   -10.2024   -15.1280     6.6980   -10.1886     0.0171
    8.0747    -6.4843    27.7933     8.0971    -6.4900    27.7886     0.0236
   -1.5284   -24.3852   -18.0906    -1.5268   -24.3794   -18.0962     0.0082
   10.2303     7.9820    70.6690    10.2730     7.9623    70.6686     0.0470
    5.6686   -17.0027   -15.6176     5.6683   -16.9941   -15.6254     0.0116
    4.2628     3.0941   -21.8580     4.2482     3.1045   -21.8585     0.0179
  -26.6348   -21.1709    -2.0007   -26.6253   -21.1830    -1.9882     0.0199
  -16.3594    -5.8621   -44.5921   -16.3847    -5.8537   -44.5825     0.0284
  -37.1732   -11.0365   -42.3292   -37.1951   -11.0392   -42.3075     0.0310
   36.2714     0.3868   -23.5251    36.2582     0.4135   -23.5476     0.0373
   31.5002    16.5175   -27.8576    31.4759    16.5436   -27.8719     0.0385
   -8.4666    27.7430    12.4234    -8.4720    27.7354    12.4403     0.0193
    5.7116    12.0832    68.8374     5.7509    12.0620    68.8413     0.0448
  -11.7117    15.9452     7.0597   -11.7147    15.9377     7.0747     0.0170
  -13.6444     1.7050     5.6342   -13.6411     1.6969     5.6459     0.0145
    0.6341     2.8209   -23.3245     0.6186     2.8301   -23.3228     0.0181
    2.0062    -3.0705   -25.4192     1.9924    -3.0600   -25.4203     0.0174
   35.9814    16.3939   -14.1903    35.9661    16.4173   -14.2072     0.0327
    7.1730     2.9417    69.1033     7.2171     2.9210    69.1033     0.0488
  -44.6048    -5.1342   -17.7351   -44.6142    -5.1491   -17.7059     0.0341
   14.9409    -5.8841    36.5627    14.9688    -5.8895    36.5539     0.0298
   -2.0432    14.9303     2.2684    -2.0485    14.9293     2.2766     0.0098
   31.3694    18.1444   -25.9090    31.3454    18.1698   -25.9226     0.0375
