150, PA5-B-Debug-Output.txt
 -128.3913,   192.6320,   -63.3672,   -27.6947,    -6.9230,    -6.7149
   16.3183   -12.1167    -2.3475    16.3214   -12.1110    -2.3564     0.0110
   37.8826     1.2189    -0.7284    37.8836     1.2303    -0.7494     0.0240
   -5.2448     0.9496   -26.8018    -5.2629     0.9548   -26.7937     0.0204
   -2.5971    -8.7238   -38.4194    -2.6202    -8.7153   -38.4154     0.0250
  -10.1624    -4.2814   -45.8790   -10.1921    -4.2733   -45.8690     0.0324
    4.0509    -3.3372    49.6001     4.0868    -3.3463    49.6029     0.0372
  -28.7332   -14.3357   -49.4913   -28.7630   -14.3320   -49.4706     0.0365
   20.9827    19.3882     3.9232    20.9812    19.3940     3.9176     0.0082
   -0.0082    13.2115    -8.1386    -0.0168    13.2141    -8.1312     0.0117
    7.1594    19.6741    -9.0774     7.1485    19.6790    -9.0737     0.0126
  -24.7405   -12.2803    -7.9680   -24.7423   -12.2847    -7.9486     0.0200
   19.1692   -10.4853    -2.1983    19.1720   -10.4788    -2.2088     0.0127
   -6.7764   -24.0382   -40.8854    -6.7968   -24.0304   -40.8817     0.0222
   33.0062     1.6327    11.5627    33.0154     1.6400    11.5454     0.0209
   10.2178    -5.3458    19.3225    10.2337    -5.3465    19.3198     0.0161
    3.9267    16.8610   -13.9628     3.9132    16.8661   -13.9575     0.0154
   -3.4621     9.2897    60.7809    -3.4224     9.2761    60.7917     0.0434
   -6.8881     5.4013   -21.8986    -6.9041     5.4051   -21.8884     0.0194
   -6.5910     1.1811   -34.2359    -6.6142     1.1876   -34.2271     0.0257
   -3.1011    11.7735    53.4285    -3.0671    11.7617    53.4393     0.0376
  -28.3882     9.1600   -36.4281   -28.4158     9.1610   -36.4026     0.0377
   13.0219    -5.5733    42.0313    13.0535    -5.5783    42.0272     0.0323
   -4.6315   -17.8358    -9.4503    -4.6322   -17.8344    -9.4460     0.0046
   -5.4950     0.1099    41.2362    -5.4660     0.1000    41.2461     0.0321
  -33.3259    -2.4661   -46.6199   -33.3574    -2.4642   -46.5935     0.0410
    2.2479    16.4192    43.3138     2.2737    16.4111    43.3216     0.0282
