150, PA5-C-Debug-Output.txt
  203.8739,  -317.9763,    71.5395,   121.6774,    36.9757,    23.4573
   30.8972    16.2432   -15.2561    30.8786    16.2639   -15.2748     0.0335
  -19.7232    -1.8629   -55.3357   -19.7572    -1.8628   -55.3275     0.0349
   33.4918     7.6432   -14.7870    33.4788     7.6652   -14.8092     0.0338
   -5.6478    14.3730    23.5087    -5.6430    14.3626    23.5132     0.0123
   14.7428    14.4650   -12.0705    14.7266    14.4754   -12.0795     0.0212
   28.4498    -1.5812   -23.8851    28.4367    -1.5602   -23.9062     0.0325
   29.8898    11.9276   -21.7906    29.8698    11.9492   -21.8097     0.0351
  -34.8457   -20.6036   -13.7028   -34.8435   -20.6229   -13.6881     0.0244
  -16.7580   -20.8277   -51.3575   -16.7779   -20.8272   -51.3549     0.0201
   -8.6564    11.3663    20.3863    -8.6517    11.3549    20.3920     0.0136
    8.3123    18.1253    11.7014     8.3082    18.1262    11.6977     0.0056
  -26.9567   -12.1954   -57.5374   -26.9859   -12.1993   -57.5268     0.0314
    9.4942    18.0751    28.6736     9.5005    18.0725    28.6695     0.0080
  -17.9133     4.4015   -51.4095   -17.9486     4.4019   -51.4010     0.0363
   20.7755     6.2460    34.1013    20.7928     6.2486    34.0878     0.0220
   -0.5448    17.1440    30.7387    -0.5370    17.1350    30.7408     0.0121
   27.2360    15.2514   -23.6274    27.2128    15.2719   -23.6443     0.0353
   23.5944    22.9131     3.3585    23.5829    22.9251     3.3460     0.0208
  -21.3401     2.9980   -52.7773   -21.3754     2.9967   -52.7670     0.0369
   23.3294    14.1758    11.0550    23.3278    14.1856    11.0411     0.0171
  -27.1890   -33.2734   -27.0340   -27.1869   -33.2852   -27.0270     0.0139
   -4.2421    11.0766    14.7899    -4.2405    11.0692    14.7926     0.0081
   18.5835    10.6493    61.4935    18.6147    10.6440    61.4829     0.0334
   19.0806    -2.6515    12.6570    19.0900    -2.6450    12.6424     0.0187
  -24.3656   -15.6605   -56.3228   -24.3920   -15.6631   -56.3146     0.0277
   25.5521    21.2773   -12.0477    25.5323    21.2942   -12.0620     0.0297
  -20.8386   -28.7109   -46.5239   -20.8509   -28.7141   -46.5203     0.0132
   18.5016    16.1446    35.4927    18.5136    16.1456    35.4828     0.0156
   21.5629     3.6248    23.3897    21.5752     3.6304    23.3750     0.0200
    1.0440    13.1752    38.8939     1.0593    13.1650    38.8943     0.0183
    7.3855    -7.4033    16.5263     7.3998    -7.4047    16.5180     0.0166
  -10.8037    11.2281    34.8933   -10.7902    11.2119    34.9006     0.0224
   -0.8017    -4.4391    14.8593    -0.7905    -4.4449    14.8567     0.0128
  -20.8056   -24.1593   -13.8331   -20.8007   -24.1704   -13.8279     0.0131
  -46.2084   -16.9449   -33.4451   -46.2209   -16.9661   -33.4229     0.0330
   -4.4868   -10.7559   -36.0426    -4.5030   -10.7516   -36.0453     0.0170
  -15.4638    -4.2796   -51.5049   -15.4938    -4.2779   -51.4998     0.0304
   -2.1257    14.1149    37.4569    -2.1120    14.1033    37.4594     0.0182
   17.2302    22.3564   -19.5681    17.2048    22.3702   -19.5771     0.0303
   25.0069    18.9235   -20.2752    24.9834    18.9420   -20.2899     0.0333
  -13.8213   -25.0893   -46.1723   -13.8354   -25.0884   -46.1723     0.0141
   19.2011    22.0703    22.6544    19.2017    22.0750    22.6450     0.0106
   19.2399   -10.2691    -1.7564    19.2452   -10.2591    -1.7731     0.0201
   13.9644    15.1940   -23.9258    13.9406    15.2068   -23.9344     0.0284
   -2.8498     1.0348    28.2657    -2.8338     1.0246    28.2658     0.0189
    8.2794    -2.0825    39.2267     8.3044    -2.0888    39.2195     0.0267
   28.4149    15.9039   -11.0728    28.3990    15.9221   -11.0900     0.0297
  -31.8474   -26.4177   -15.4470   -31.8426   -26.4349   -15.4354     0.0213
   -4.0450   -13.3067    -5.9166    -4.0413   -13.3096    -5.9194     0.0055
   29.1734    18.1338   -14.8103    29.1539    18.1534   -14.8276     0.0326
   -2.2710    -4.1150    12.2617    -2.2617    -4.1210    12.2601     0.0112
   11.9564    -1.6972    43.5094    11.9839    -1.7024    43.5001     0.0295
  -10.7919     6.5175    23.7684   -10.7823     6.5039    23.7745     0.0178
   -3.6313    -2.9764   -31.9615    -3.6497    -2.9725   -31.9630     0.0189
    0.1618   -10.1593    -0.8105     0.1669   -10.1609    -0.8152     0.0071
  -22.4592   -24.6251   -52.6007   -22.4778   -24.6277   -52.5954     0.0195
   15.5661    -0.7913    34.7389    15.5878    -0.7922    34.7272     0.0246
   29.1087    -0.5109    -3.0755    29.1077    -0.4945    -3.0964     0.0265
    4.6708    -3.8702    26.0077     4.6887    -3.8755    26.0020     0.0194
    4.5820    12.0380     4.1147     4.5769    12.0384     4.1119     0.0059
   16.0675     8.0503   -22.4081    16.0490     8.0638   -22.4194     0.0256
   20.4800    -9.2809    -4.1949    20.4833    -9.2695    -4.2122     0.0209
   24.1072    14.3647   -27.8952    24.0818    14.3844   -27.9104     0.0356
  -40.1462   -28.1316   -29.0467   -40.1489   -28.1505   -29.0306     0.0250
    8.4190    17.8995     2.9549     8.4098    17.9025     2.9509     0.0105
   -1.1329     2.6892    46.0448    -1.1071     2.6758    46.0446     0.0291
    1.5580    -5.8742    12.2323     1.5685    -5.8780    12.2279     0.0120
   18.3248    13.9980    45.8811    18.3445    13.9964    45.8711     0.0221
    4.2999    -0.9316   -25.3148     4.2846    -0.9245   -25.3207     0.0178
  -15.4590    -3.5124    -4.4664   -15.4607    -3.5221    -4.4601     0.0117
   31.4760    14.4044   -18.2237    31.4568    14.4261   -18.2433     0.0350
    4.5519    -0.3372    53.9576     4.5847    -0.3492    53.9534     0.0351
  -34.3458   -32.3163   -32.9977   -34.3482   -32.3308   -32.9861     0.0188
    4.6023    -0.6482    59.3209     4.6385    -0.6615    59.3166     0.0388
  -47.3008   -13.2946   -26.3973   -47.3111   -13.3181   -26.3736     0.0349
   -4.2203     4.4936    36.6655    -4.2013     4.4807    36.6673     0.0230
   -1.6664     3.7343    47.7370    -1.6401     3.7202    47.7373     0.0298
  -14.7589     7.0005   -18.0523   -14.7752     6.9946   -18.0446     0.0190
   30.5484    13.3965   -20.1646    30.5286    13.4181   -20.1839     0.0351
   29.6054     6.2140   -33.4258    29.5817     6.2382   -33.4462     0.0395
    6.2786    12.3847    -0.3905     6.2706    12.3872    -0.3944     0.0093
   17.8428    15.2043   -29.7738    17.8156    15.2208   -29.7849     0.0338
   30.8019     6.3011   -28.4514    30.7813     6.3248   -28.4724     0.0378
  -47.0022    -4.9991   -38.6713   -47.0251    -5.0192   -38.6464     0.0394
   13.9658    23.1224    49.8777    13.9822    23.1174    49.8723     0.0180
  -35.9684     5.5417   -46.0168   -36.0017     5.5301   -45.9968     0.0406
  -19.8841   -27.6270   -18.8195   -19.8802   -27.6363   -18.8157     0.0109
   18.5060     1.7210    60.6646    18.5421     1.7157    60.6522     0.0386
   10.6897     0.8918    67.3092    10.7301     0.8802    67.3017     0.0427
  -45.6580    -2.4659   -44.4343   -45.6859    -2.4838   -44.4098     0.0412
   28.8981    15.5784   -11.1756    28.8824    15.5970   -11.1931     0.0300
  -38.0488     5.6975   -45.0817   -38.0817     5.6844   -45.0603     0.0414
   12.3085    16.8529    -7.1508    12.2938    16.8607    -7.1577     0.0180
   15.0298    -1.2951    53.9048    15.0635    -1.3009    53.8938     0.0359
  -13.1885     5.4816   -36.2860   -13.2150     5.4811   -36.2799     0.0272
  -24.5972     9.5578   -44.6372   -24.6317     9.5527   -44.6234     0.0375
   26.4843    20.6949   -13.0309    26.4642    20.7126   -13.0459     0.0307
    3.3388   -16.4998    -9.8049     3.3424   -16.4974    -9.8131     0.0093
   20.8774    15.1726   -28.4384    20.8511    15.1906   -28.4514     0.0344
  -44.9949   -14.1497   -19.7591   -45.0006   -14.1734   -19.7369     0.0330
   22.4240    -0.7123    11.1614    22.4316    -0.7034    11.1450     0.0201
  -36.2143   -28.1581   -21.8288   -36.2125   -28.1764   -21.8150     0.0230
   -3.8516     9.4772    37.4030    -3.8352     9.4644    37.4057     0.0210
    5.6808    10.6351     0.9832     5.6746    10.6368     0.9793     0.0075
   17.9210    -3.6450   -23.4678    17.9090    -3.6304   -23.4827     0.0241
    4.7542    -1.0552    62.8083     4.7928    -1.0693    62.8040     0.0413
    2.7262    -9.2708   -29.4839     2.7134    -9.2638   -29.4907     0.0161
  -26.4120   -26.9174   -16.7435   -26.4075   -26.9311   -16.7354     0.0166
    1.7864    -4.2830   -27.5641     1.7717    -4.2770   -27.5692     0.0167
  -22.4058    11.9742   -24.8439   -22.4296    11.9656   -24.8305     0.0286
    2.0037    12.8153     9.7057     2.0014    12.8127     9.7048     0.0035
  -23.5625   -33.5144   -33.2792   -23.5639   -33.5226   -33.2746     0.0095
    2.3034    11.1491     7.6559     2.3009    11.1472     7.6544     0.0035
    3.1930    14.0140    40.0715     3.2085    14.0049    40.0707     0.0181
  -25.8548    -4.8119   -56.0453   -25.8876    -4.8152   -56.0339     0.0349
  -40.9081     3.2177   -45.9199   -40.9401     3.2031   -45.8972     0.0419
   19.6388   -10.4630   -17.6626    19.6346   -10.4489   -17.6799     0.0227
  -15.3881     6.4039   -17.1773   -15.4036     6.3975   -17.1692     0.0186
  -14.1126     8.0293   -31.7316   -14.1379     8.0272   -31.7243     0.0264
   14.8555    -1.5063    64.0949    14.8955    -1.5147    64.0842     0.0423
  -38.8672   -29.3732   -36.4243   -38.8736   -29.3896   -36.4094     0.0230
   11.2852   -10.2538    10.3554    11.2976   -10.2515    10.3439     0.0170
  -31.4127   -27.6636   -16.0206   -31.4075   -27.6805   -16.0095     0.0208
   32.7033     4.9027    -9.2501    32.6954     4.9228    -9.2722     0.0309
  -23.9691    -9.1429   -12.1187   -23.9724    -9.1560   -12.1084     0.0169
   22.1555    17.5371   -25.9653    22.1293    17.5553   -25.9786     0.0345
   14.9627    -0.8944    47.2005    14.9920    -0.8986    47.1895     0.0316
    8.7180    16.4802    67.1215     8.7488    16.4678    67.1184     0.0333
  -35.0723    -8.0393   -56.3719   -35.1037    -8.0481   -56.3554     0.0365
   31.2250     2.5051   -20.7644    31.2114     2.5270   -20.7863     0.0339
    0.9372    -1.0780   -27.6539     0.9205    -1.0724   -27.6578     0.0181
  -11.3979   -25.6079   -42.6311   -11.4094   -25.6064   -42.6327     0.0117
  -14.5199   -27.1090   -44.4959   -14.5317   -27.1090   -44.4959     0.0118
    5.1290    16.7418    24.6161     5.1336    16.7376    24.6144     0.0064
   32.6072    11.6084   -17.2599    32.5903    11.6305   -17.2807     0.0348
   -5.1284   -11.2072   -36.6061    -5.1447   -11.2032   -36.6085     0.0170
  -21.9077     6.8904   -48.9423   -21.9431     6.8879   -48.9308     0.0373
   18.1523    11.6454    64.2286    18.1846    11.6392    64.2185     0.0344
  -46.7466    -1.3064   -31.0160   -46.7670    -1.3281   -30.9903     0.0394
  -13.4429     9.3437   -26.8012   -13.4659     9.3408   -26.7939     0.0243
   -1.9988     8.2445    58.4359    -1.9688     8.2277    58.4376     0.0345
   -0.6905     0.9926    37.9531    -0.6685     0.9814    37.9521     0.0247
   20.5964    10.2494    20.6835    20.6030    10.2552    20.6707     0.0155
  -31.6943   -30.0120   -45.2517   -31.7055   -30.0220   -45.2416     0.0181
   16.9402    -1.7176    21.3681    16.9543    -1.7144    21.3551     0.0195
  -44.6346   -21.7871   -36.2131   -44.6457   -21.8068   -36.1930     0.0302
   23.8361     1.5041    12.3525    23.8431     1.5136    12.3357     0.0205
  -25.0700    12.3699   -22.4469   -25.0927    12.3592   -22.4317     0.0293
    9.6992    13.0298    -4.6287     9.6883    13.0353    -4.6347     0.0136
  -43.4443     3.7291   -28.9168   -43.4664     3.7089   -28.8920     0.0388
