150, PA5-D-Debug-Output.txt
  -37.0686,     5.4608,    -8.0090,   -22.4467,   -37.7804,    -2.3505
   30.9470    22.1827     5.3019    30.9500    22.1858     5.2889     0.0137
   25.3929    11.0081    28.1600    25.4069    11.0104    28.1495     0.0176
   20.1396    21.4973   -36.2283    20.1241    21.5005   -36.2369     0.0180
  -13.7609   -11.5081     6.1318   -13.7554   -11.5082     6.1382     0.0085
  -13.8209   -13.0661     1.7435   -13.8173   -13.0662     1.7499     0.0074
    7.0530    24.0548     6.2096     7.0560    24.0562     6.2073     0.0040
    3.9598    22.1275    19.8055     3.9691    22.1284    19.8048     0.0093
  -22.4150   -15.8881    -3.7503   -22.4137   -15.8887    -3.7401     0.0102
   16.4577    25.9172    -7.0468    16.4548    25.9196    -7.0533     0.0075
   18.8794   -15.0536    -1.3416    18.8821   -15.0512    -1.3499     0.0090
   17.2335    13.1101    57.5276    17.2604    13.1113    57.5211     0.0276
   21.9772    18.5340   -36.2431    21.9619    18.5374   -36.2525     0.0183
   36.6768    -7.7097   -19.2755    36.6712    -7.7056   -19.2918     0.0176
    4.7576    25.0615    -0.4653     4.7576    25.0628    -0.4666     0.0019
  -12.7536    22.0228    20.1214   -12.7444    22.0224    20.1281     0.0114
    8.1936    24.6689     2.9161     8.1951    24.6704     2.9133     0.0035
    8.6500    19.5020    51.0022     8.6734    19.5027    50.9996     0.0235
    4.7303    19.7703   -10.0531     4.7264    19.7719   -10.0545     0.0044
  -13.6383     2.7570    39.3884   -13.6190     2.7562    39.3953     0.0205
    3.7285   -15.8043   -11.3328     3.7267   -15.8029   -11.3344     0.0028
  -12.4901    12.6531    36.9048   -12.4727    12.6525    36.9113     0.0186
   -3.9739   -17.9703   -33.2305    -3.9854   -17.9690   -33.2289     0.0117
   -2.8327    -1.7067   -28.0080    -2.8431    -1.7054   -28.0066     0.0105
   30.7088    -3.8824    16.9671    30.7190    -3.8794    16.9540     0.0169
  -30.6690     5.5187   -31.6060   -30.6818     5.5180   -31.5921     0.0189
   30.8430    21.9418   -25.6660    30.8323    21.9455   -25.6792     0.0175
   21.8404     0.2524    38.8329    21.8599     0.2543    38.8240     0.0215
  -41.6571   -12.1039   -10.0748   -41.6591   -12.1059   -10.0561     0.0189
  -38.3590   -20.3450    -9.0615   -38.3599   -20.3467    -9.0444     0.0172
   15.0542    14.8918    57.3522    15.0809    14.8928    57.3467     0.0272
   -7.7721    23.4579    15.0988    -7.7652    23.4580    15.1033     0.0082
   -5.7711    14.2054    -2.7577    -5.7715    14.2061    -2.7545     0.0033
   -7.8639     5.2047   -29.0390    -7.8753     5.2056   -29.0353     0.0120
   30.3269     2.3972   -34.9477    30.3134     2.4011   -34.9611     0.0194
    3.3287    -2.3986   -26.4880     3.3191    -2.3969   -26.4894     0.0098
  -34.1854   -28.8772   -26.6558   -34.1934   -28.8782   -26.6408     0.0170
  -16.9103     3.9915     9.0134   -16.9047     3.9910     9.0215     0.0099
   17.5029    25.4422    -5.0063    17.5009    25.4446    -5.0133     0.0077
   -9.9077    13.2108     3.2294    -9.9053    13.2110     3.2345     0.0056
   34.6924    -0.0259   -26.8449    34.6828    -0.0218   -26.8602     0.0185
   -9.6133    12.4699    59.7474    -9.5857    12.4690    59.7529     0.0282
    2.7927    19.6730    34.8094     2.8088    19.6736    34.8092     0.0161
  -12.9549     7.1685   -22.6712   -12.9636     7.1690   -22.6651     0.0107
   17.8951    20.4982    22.2521    17.9056    20.5001    22.2451     0.0128
   27.7463    -9.2399     9.0333    27.7533    -9.2370     9.0213     0.0142
  -39.2126    -0.3182   -31.5225   -39.2250    -0.3195   -31.5049     0.0216
  -21.8007   -19.5573    -4.8953   -21.7996   -19.5578    -4.8855     0.0099
  -43.0421   -11.2951   -27.2978   -43.0518   -11.2968   -27.2786     0.0216
    2.5781    -8.9769    62.7367     2.6088    -8.9769    62.7365     0.0307
    3.1576   -15.4747    -6.2008     3.1581   -15.4734    -6.2021     0.0019
  -35.7046   -28.3371   -20.3638   -35.7099   -28.3383   -20.3481     0.0166
   12.5364   -15.5751     2.7996    12.5409   -15.5733     2.7942     0.0073
   12.6264    -3.1144   -25.4897    12.6174    -3.1120   -25.4952     0.0108
   -8.2017   -17.6223   -38.8664    -8.2158   -17.6212   -38.8630     0.0145
  -36.3992   -26.1531   -30.9645   -36.4094   -26.1542   -30.9485     0.0190
   15.7237    25.3430    -2.7425    15.7228    25.3452    -2.7487     0.0067
   28.8994    -1.1178    21.0159    28.9111    -1.1151    21.0036     0.0172
   -7.8665    23.4730    16.9457    -7.8588    23.4730    16.9502     0.0089
   -7.5325    23.5673    17.3259    -7.5247    23.5674    17.3302     0.0090
   26.2927     0.3076    25.8526    26.3065     0.3101    25.8415     0.0178
  -31.3101    -1.2522   -37.9579   -31.3252    -1.2528   -37.9439     0.0206
   -7.4026   -23.1761   -16.6078    -7.4063   -23.1754   -16.6046     0.0050
  -28.2338   -31.7806   -17.7928   -28.2376   -31.7814   -17.7805     0.0129
  -16.2910   -11.9126     2.3756   -16.2872   -11.9129     2.3832     0.0084
    5.9631    12.2447    63.6787     5.9926    12.2450    63.6773     0.0296
   11.4575     5.8802   -20.6172    11.4500     5.8824   -20.6219     0.0092
  -12.8405   -25.9034   -35.6599   -12.8526   -25.9027   -35.6545     0.0132
  -28.3145     1.1411   -37.8376   -28.3298     1.1407   -37.8249     0.0198
   -4.2264   -13.2342   -37.5998    -4.2402   -13.2328   -37.5980     0.0140
   38.0979     8.7674   -20.7080    38.0904     8.7716   -20.7246     0.0187
   -2.6102   -10.0355    45.0229    -2.5874   -10.0356    45.0248     0.0229
   17.0102    -0.0861    58.0842    17.0383    -0.0850    58.0776     0.0289
    2.0898    -9.7248    25.4179     2.1039    -9.7242    25.4175     0.0141
   30.7917    19.9118    10.2496    30.7971    19.9148    10.2367     0.0143
   -6.4859    15.3672     0.4327    -6.4849    15.3677     0.4363     0.0037
   -7.9525   -20.3593   -11.9020    -7.9544   -20.3586   -11.8985     0.0040
   -6.3858   -22.2135   -34.0044    -6.3973   -22.2123   -34.0018     0.0119
  -15.0319     3.5610    24.3113   -15.0195     3.5604    24.3187     0.0145
  -18.2109    15.3264    22.1766   -18.2004    15.3257    22.1856     0.0139
  -10.5166    18.0919     7.0434   -10.5130    18.0919     7.0489     0.0066
   14.3353    15.3289    56.7832    14.3616    15.3299    56.7781     0.0268
   14.1771    24.7982   -19.4516    14.1687    24.8006   -19.4573     0.0104
    0.8697    18.5167    57.2052     0.8958    18.5167    57.2061     0.0261
   41.1647    11.3679     8.3918    41.1700    11.3717     8.3741     0.0188
  -20.1279    -3.8831   -42.2501   -20.1446    -3.8828   -42.2412     0.0190
   -3.8097    -9.9691    35.7175    -3.7911    -9.9691    35.7198     0.0188
   -4.4257   -18.1979   -18.2267    -4.4305   -18.1969   -18.2247     0.0053
   -7.6314     3.9206   -29.8506    -7.6430     3.9216   -29.8470     0.0122
  -19.0165     8.4738   -20.1412   -19.0243     8.4737   -20.1323     0.0118
  -26.7499   -11.7491    -3.1815   -26.7487   -11.7501    -3.1694     0.0122
  -12.0012    -4.1259    55.1433   -11.9744    -4.1269    55.1496     0.0275
   21.8085    16.2054   -37.7074    21.7927    16.2087   -37.7168     0.0187
   39.5197    -2.1121   -16.5225    39.5150    -2.1078   -16.5399     0.0185
  -43.1739   -15.1777   -13.5428   -43.1772   -15.1797   -13.5235     0.0197
  -32.1826    -5.1080   -39.9686   -32.1983    -5.1086   -39.9543     0.0213
  -37.2775   -23.7996   -10.7289   -37.2789   -23.8012   -10.7124     0.0167
  -36.5735    -7.9756    -5.1932   -36.5736    -7.9772    -5.1767     0.0166
  -15.7746    -4.2731   -41.4214   -15.7909    -4.2725   -41.4144     0.0177
  -10.1157   -15.4754   -40.4410   -10.1306   -15.4744   -40.4367     0.0156
   15.3310   -17.7203   -15.6691    15.3275   -17.7179   -15.6759     0.0080
  -39.1487     2.3521   -25.1158   -39.1585     2.3506   -25.0982     0.0202
   10.1044    21.5153    19.2500    10.1134    21.5167    19.2464     0.0098
  -18.5741   -12.3952     0.1452   -18.5713   -12.3956     0.1537     0.0090
    6.7886    11.3242    63.5041     6.8181    11.3245    63.5023     0.0296
  -13.4933    -2.3008    35.3293   -13.4755    -2.3015    35.3361     0.0190
  -11.8468     9.9203     3.1383   -11.8443     9.9204     3.1442     0.0064
   23.3979    23.0367   -33.6001    23.3834    23.0401   -33.6101     0.0179
    5.4902     8.1092   -19.9414     5.4828     8.1110   -19.9435     0.0079
   -5.1393    18.7645    37.6621    -5.1220    18.7644    37.6655     0.0177
  -37.2866     1.6638   -30.4865   -37.2986     1.6626   -30.4697     0.0207
   12.2253    -8.8090    17.7470    12.2360    -8.8075    17.7420     0.0119
  -14.0769    -5.1439    26.7743   -14.0627    -5.1444    26.7811     0.0158
   -6.4466   -19.0290   -14.8494    -6.4499   -19.0283   -14.8466     0.0044
   -9.0442   -24.7490   -14.5541    -9.0469   -24.7484   -14.5502     0.0048
   -5.4767   -22.4005   -22.1944    -5.4830   -22.3995   -22.1921     0.0067
   -7.7377    19.6856    30.8270    -7.7235    19.6854    30.8315     0.0149
  -10.0516    -7.8351    43.4423   -10.0297    -7.8357    43.4476     0.0225
  -31.7549    -1.2417   -37.8457   -31.7700    -1.2424   -37.8315     0.0207
   -2.3463   -10.9839    20.8324    -2.3342   -10.9835    20.8339     0.0122
   -6.4886   -10.7936    24.0634    -6.4751   -10.7936    24.0668     0.0139
   15.8626     2.0686   -24.5701    15.8537     2.0712   -24.5769     0.0116
   -4.8080    -1.9120   -29.7402    -4.8192    -1.9108   -29.7379     0.0114
   11.8047    24.8062     2.0549    11.8059    24.8080     2.0505     0.0049
  -13.6247     1.5137    40.2834   -13.6050     1.5129    40.2903     0.0209
  -40.7712   -22.3978   -15.1158   -40.7746   -22.3996   -15.0976     0.0185
  -35.4691     5.1036   -17.7732   -35.4758     5.1023   -17.7571     0.0175
   18.0636   -19.9640    -9.7218    18.0630   -19.9615    -9.7298     0.0084
   41.5692     0.2152   -11.9818    41.5663     0.2195   -12.0000     0.0189
   21.3547    16.8597    30.3038    21.3692    16.8617    30.2952     0.0169
   26.7594    18.0073    16.2936    26.7676    18.0100    16.2826     0.0140
  -40.4815   -21.0781   -11.7146   -40.4836   -21.0799   -11.6966     0.0182
    9.6570   -17.0077    -0.6976     9.6601   -17.0060    -0.7017     0.0054
   19.1711     0.0935    48.6531    19.1950     0.0950    48.6455     0.0251
   27.3136     0.7452   -34.8838    27.3003     0.7488   -34.8959     0.0183
   -5.6390   -23.5567   -24.2233    -5.6461   -23.5556   -24.2210     0.0075
    1.4069    18.9484    51.9465     1.4306    18.9485    51.9471     0.0238
    7.8405    -8.2581    42.9254     7.8624    -8.2574    42.9227     0.0220
   20.5089    25.4810   -20.3303    20.5001    25.4839   -20.3388     0.0125
    5.0672    25.1901    -0.8461     5.0670    25.1915    -0.8476     0.0020
   -0.9937    -5.4769   -28.5674    -1.0040    -5.4755   -28.5669     0.0104
   26.1026   -15.1451    -9.7526    26.1017   -15.1420    -9.7641     0.0120
  -13.5966     1.9434    51.5280   -13.5719     1.9424    51.5350     0.0257
   -2.6094    -9.9369    46.9874    -2.5857    -9.9370    46.9893     0.0237
   21.1892   -12.7087   -20.7794    21.1831   -12.7058   -20.7888     0.0116
   37.4600    -6.5496   -19.0242    37.4545    -6.5455   -19.0407     0.0180
   22.8448    18.0198   -36.0141    22.8297    18.0231   -36.0240     0.0184
    9.5751    -3.8800    63.1007     9.6056    -3.8795    63.0974     0.0307
  -12.1629    22.4792    13.1495   -12.1568    22.4791    13.1559     0.0088
   -6.2887   -12.6572     6.2724    -6.2830   -12.6568     6.2755     0.0065
   34.2018    18.3001   -22.3847    34.1928    18.3040   -22.3994     0.0177
