400, PA5-E-Debug-Output.txt
 -112.6304,   140.0262,   -40.3412,     2.5057,   -88.4503,    11.6892
  -39.2577   -18.6559   -44.3996   -39.3571   -18.5390   -44.2801     0.1944
  -45.9861   -17.4297   -24.8837   -45.9841   -17.5365   -24.7016     0.2112
  -22.1318   -24.6064   -45.4911   -22.1850   -24.3588   -45.5323     0.2566
   -7.4031    -8.9417   -41.5608    -7.5484    -8.6137   -41.5589     0.3587
    9.0524    14.3024   -33.0527     8.7838    14.6863   -32.9512     0.4794
   23.0263     1.3249    33.2095    23.2481     1.2070    33.1420     0.2600
    2.0762    15.6528   -16.7306     1.8892    15.8400   -16.5652     0.3119
   21.3194    17.0000   -21.6107    21.1012    17.3715   -21.5585     0.4340
  -10.1557   -22.6762   -28.3349   -10.1194   -22.4948   -28.4275     0.2068
   -8.5350    -2.9166    49.4709    -8.1983    -3.4122    49.5754     0.6082
  -38.4663    -5.0766   -14.7140   -38.4975    -5.2134   -14.4685     0.2828
   26.3917     9.3755   -21.4363    26.2353     9.7780   -21.4820     0.4342
   -0.1045    -8.0094    37.9210     0.2076    -8.3428    37.9226     0.4566
   -7.6755    16.1746    37.7957    -7.5534    15.8009    38.0536     0.4702
  -37.8916    -3.6207   -14.8947   -37.9348    -3.7509   -14.6404     0.2890
  -34.6338   -29.2368   -26.5452   -34.5461   -29.2529   -26.5377     0.0895
   -7.2785     4.6388    67.5088    -6.8948     3.9943    67.6791     0.7691
    2.8763    13.8091   -16.9794     2.7024    14.0033   -16.8352     0.2979
   -5.4854     9.8755    -7.9185    -5.5796     9.9253    -7.7507     0.1988
   -4.1635    15.0687    55.1945    -3.9305    14.5634    55.4289     0.6038
    8.6523     0.4986   -21.1860     8.5588     0.7651   -21.1951     0.2826
  -21.5252     6.5289   -25.0237   -21.6992     6.6143   -24.7908     0.3029
    1.7671    -9.0571    18.4005     1.9745    -9.2020    18.3718     0.2546
  -28.0631     7.6472   -31.8905   -28.2882     7.7475   -31.6097     0.3735
  -40.1170   -23.8034   -20.2901   -40.0370   -23.9125   -20.1980     0.1637
    8.5730     1.6841   -20.7553     8.4728     1.9468   -20.7536     0.2812
  -21.6610   -25.5107   -15.3068   -21.5317   -25.5316   -15.3444     0.1363
   22.9195     2.8359    34.0519    23.1344     2.7105    33.9986     0.2545
   19.8841    20.1985     0.7743    19.7708    20.3601     0.8739     0.2210
    6.9150    -8.5429   -24.6613     6.8704    -8.2628   -24.7389     0.2941
   10.5829   -13.4497   -23.0005    10.5871   -13.1607   -23.1430     0.3223
   35.5369     0.8574     2.7958    35.5905     1.1036     2.6302     0.3015
  -32.6428    -7.7425   -48.3692   -32.8468    -7.5358   -48.1998     0.3362
    3.1750    18.1729    61.4076     3.4230    17.6667    61.6250     0.6042
  -23.4279   -13.3180    -6.8240   -23.3439   -13.4213    -6.7412     0.1567
    8.1898    21.1103     0.9166     8.0657    21.1861     1.0985     0.2329
    2.4897    -8.3132    50.7682     2.8797    -8.7434    50.7567     0.5808
   -0.7185    -7.7133    41.0831    -0.3906    -8.0794    41.0926     0.4916
  -11.5252    -4.7037    31.2473   -11.2818    -5.0581    31.3467     0.4413
  -32.0342   -28.9822   -38.2322   -32.0153   -28.8741   -38.2447     0.1104
   23.8234    -8.2354   -24.8400    23.7819    -7.8307   -25.0226     0.4459
  -23.1734   -31.7121   -34.8576   -23.1105   -31.5716   -34.9483     0.1787
  -18.7445   -25.0363   -43.9322   -18.7840   -24.7783   -43.9979     0.2691
   27.9310    -6.9444   -17.3780    27.9245    -6.5764   -17.5720     0.4161
   28.4008    -8.7938     4.0743    28.5334    -8.6164     3.8716     0.3003
   13.0213    18.6188    25.3138    13.0600    18.5089    25.4551     0.1832
   21.1107     7.1548    46.8822    21.3662     6.9033    46.8837     0.3585
  -14.1006    -8.6684     9.8139   -13.9522    -8.8510     9.8853     0.2459
   20.1985    12.8854    35.6702    20.3444    12.7313    35.7215     0.2183
  -39.8718   -26.1331   -30.3289   -39.8320   -26.1514   -30.2632     0.0789
   32.7098    -1.5847    -6.7469    32.7256    -1.2746    -6.9201     0.3556
  -38.1295     4.4023   -26.6725   -38.3031     4.3808   -26.3531     0.3641
   25.0793     6.3032    21.0880    25.1931     6.3120    21.0446     0.1221
   29.5506     6.9944     9.2955    29.5923     7.1421     9.2239     0.1693
  -11.8351     5.8359    44.0732   -11.5986     5.3698    44.2715     0.5591
    6.7008    -0.7702    66.1714     7.1238    -1.3042    66.2056     0.6821
  -31.5951    -7.6645   -48.4135   -31.7995    -7.4498   -48.2500     0.3385
  -25.6220   -31.9222   -34.5762   -25.5567   -31.8022   -34.6531     0.1568
   11.3585    18.5270    34.5237    11.4508    18.3221    34.6793     0.2732
   21.5302    11.2216    32.5893    21.6715    11.1040    32.6163     0.1858
    5.8570    12.2197   -29.3622     5.6246    12.5460   -29.2566     0.4143
   29.0317    -6.5805    -2.4822    29.1094    -6.3383    -2.6730     0.3180
  -18.1051     0.5967    33.8466   -17.8900     0.1741    34.0348     0.5101
   24.1579    18.7730    -1.3476    24.0449    18.9838    -1.2885     0.2464
    8.9363    -5.2858    66.7365     9.3982    -5.8112    66.7178     0.6999
   11.2383    -8.2421    13.6498    11.4156    -8.2750    13.5656     0.1990
