400, PA5-F-Debug-Output.txt
  -10.3658,    11.3366,    -3.7205,    -4.5358,    -6.7626,    -3.2128
  -32.7690   -27.8476   -33.5296   -32.9045   -27.8166   -33.4219     0.1759
   -0.2293   -12.3243    16.1488    -0.1533   -12.3232    16.1341     0.0775
  -18.2287     4.3161   -34.8561   -18.3852     4.3555   -34.7833     0.1770
  -17.2355     1.8794   -11.7344   -17.2900     1.8980   -11.6655     0.0898
   20.5329    17.5929    35.5171    20.6799    17.5864    35.4407     0.1658
  -42.6555   -18.0670   -24.6648   -42.7586   -18.0488   -24.5044     0.1916
  -13.1688   -12.9838     0.9317   -13.1600   -12.9749     0.9711     0.0413
  -14.8231    16.1723    24.8015   -14.7258    16.1588    24.8766     0.1237
   32.8971    17.9420    10.1002    32.9347    17.9646     9.9674     0.1398
  -12.1527     5.4563    -4.1470   -12.1755     5.4705    -4.0962     0.0574
  -23.7377     4.6450   -34.5171   -23.8934     4.6814   -34.4199     0.1871
  -12.4990   -20.6218    -9.5759   -12.5319   -20.6030    -9.5474     0.0474
   22.5613   -14.2533    -1.2140    22.5652   -14.2255    -1.3316     0.1210
   -9.6453    20.7301    16.2208    -9.5871    20.7269    16.2765     0.0806
  -18.2614   -32.2581   -22.6710   -18.3458   -32.2301   -22.6292     0.0983
   33.2004    19.9949     3.6973    33.2091    20.0236     3.5644     0.1363
  -19.0307   -12.9775   -44.4522   -19.2200   -12.9299   -44.3923     0.2042
   24.5297    11.5128    48.1947    24.7354    11.4966    48.0969     0.2284
  -10.9639    19.7491    24.7609   -10.8682    19.7375    24.8224     0.1143
   20.4697   -18.2497   -14.2012    20.4189   -18.2110   -14.3147     0.1302
  -21.6093     4.8311   -33.7951   -21.7618     4.8679   -33.7069     0.1799
  -36.9035   -24.1816   -32.3314   -37.0361   -24.1536   -32.2023     0.1872
   -9.2179   -23.0456   -14.0446    -9.2686   -23.0212   -14.0331     0.0575
   30.9081    -6.2101   -27.9878    30.7923    -6.1537   -28.1376     0.1976
   30.8192   -11.7996     5.8218    30.8533   -11.7743     5.6711     0.1566
    1.7026   -16.7435   -13.3419     1.6528   -16.7144   -13.3722     0.0651
   27.4544    20.6401     5.8190    27.4713    20.6641     5.7119     0.1111
