150, PA5-G-Unknown-Output.txt
   -7.1196,    30.1401,   -16.3410,    -6.8035,   -34.7362,     8.6751
   33.2342    21.3315   -16.9266    33.3008    21.2836   -16.9427     0.0836
   -7.0631   -27.8455   -29.2000    -7.1503   -27.7605   -29.2582     0.1350
    9.0277    24.2848    15.0666     9.1328    24.2553    15.0784     0.1098
   21.3288    18.7137    30.2315    21.4333    18.6245    30.2230     0.1376
  -40.3855    -4.3780   -36.2279   -40.4139    -4.1851   -36.2172     0.1952
  -18.6870   -22.1766    -2.3371   -18.7324   -22.1009    -2.3750     0.0961
   15.2464    11.7587    55.6298    15.3555    11.6461    55.6161     0.1574
  -10.0476    -0.3556    70.1111    -9.9601    -0.4193    70.1017     0.1087
   23.7600    -2.1862   -30.1609    23.7462    -2.1869   -30.2063     0.0475
  -15.9352   -33.0017   -28.5442   -16.0369   -32.8925   -28.6024     0.1602
   -9.1739     6.5748    26.1974    -9.1092     6.5790    26.1977     0.0648
   -0.0559    24.7781    13.0735     0.0484    24.7779    13.0946     0.1064
   16.9905    13.7682   -17.7113    17.0341    13.7678   -17.7245     0.0455
  -45.5726   -14.7526   -15.1486   -45.6103   -14.5790   -15.1495     0.1776
  -43.5815   -20.3335   -29.0424   -43.6486   -20.1437   -29.0544     0.2017
    1.8672    11.2803    -5.8785     1.9146    11.3042    -5.8814     0.0532
  -43.4085   -12.3144   -35.4065   -43.4588   -12.1145   -35.4057     0.2061
  -45.1543   -15.6561   -24.8635   -45.2040   -15.4682   -24.8664     0.1943
   16.1059    -3.2999    40.2617    16.1571    -3.3911    40.2226     0.1117
    9.7445    23.9635    -0.9087     9.8333    23.9575    -0.8983     0.0895
  -14.4709   -27.1466   -37.0360   -14.5641   -27.0278   -37.0864     0.1591
   21.8744     4.1326    31.3921    21.9383     4.0393    31.3595     0.1177
  -15.7381    -0.8608     1.0040   -15.7193    -0.7979     0.9980     0.0659
   -9.3156    -0.9545    70.2897    -9.2295    -1.0207    70.2785     0.1091
   31.2904    -7.9722    -2.0312    31.2877    -8.0397    -2.0927     0.0913
  -25.9793     7.6016   -31.4352   -25.9683     7.7460   -31.4185     0.1458
   -0.6114    -0.0371   -25.1279    -0.6151     0.0242   -25.1471     0.0643
  -14.1745   -17.4227    -1.4708   -14.2054   -17.3611    -1.5051     0.0770
  -27.7487    10.0338   -19.6648   -27.7194    10.1646   -19.6422     0.1359
   -4.0338   -10.3661    15.0108    -4.0282   -10.3595    14.9787     0.0333
   29.3088     6.5858    16.4195    29.3655     6.4953    16.3837     0.1127
  -37.4930   -20.8088    -5.4261   -37.5383   -20.6742    -5.4442     0.1432
    7.7028   -14.2802     4.4101     7.6874   -14.2906     4.3605     0.0529
   19.7584     3.3258    39.6501    19.8280     3.2254    39.6183     0.1263
    3.9384    24.2794    17.2950     4.0455    24.2609    17.3116     0.1099
    5.5102   -16.8318    -2.7493     5.4806   -16.8246    -2.8010     0.0601
    3.2752     7.9309   -18.7736     3.3005     7.9712   -18.7834     0.0486
    5.6170    -9.0375    21.5499     5.6332    -9.0690    21.5110     0.0526
   -3.3834   -15.8662   -35.5458    -3.4425   -15.7811   -35.5882     0.1120
  -20.3995   -28.7627    -6.2126   -20.4676   -28.6762    -6.2595     0.1197
   33.1821    19.9333   -24.3616    33.2374    19.8973   -24.3799     0.0685
   18.3315    25.5778     5.9185    18.4318    25.5363     5.9236     0.1087
  -40.9407   -19.8130   -34.9153   -41.0119   -19.6214   -34.9290     0.2049
  -10.5879     1.1208    65.3709   -10.5008     1.0662    65.3642     0.1030
  -16.1857    -0.9161    -0.1226   -16.1682    -0.8501    -0.1283     0.0685
   16.0106     8.9467    59.0290    16.1149     8.8264    59.0101     0.1604
   29.1392     8.0229   -33.2421    29.1518     8.0121   -33.2761     0.0378
   -4.0028    -7.7154   -33.4490    -4.0366    -7.6315   -33.4775     0.0949
   -1.0581    16.7806     6.6263    -0.9829    16.7932     6.6353     0.0767
  -23.1203   -18.2618   -44.0684   -23.1952   -18.1066   -44.0964     0.1746
  -19.6371   -34.1572   -13.6489   -19.7278   -34.0613   -13.7054     0.1436
   32.7826     3.8526    12.1211    32.8274     3.7588    12.0776     0.1127
  -46.3345    -6.7298   -30.4092   -46.3642    -6.5293   -30.3966     0.2031
    3.0878    14.6240    67.4844     3.2161    14.5274    67.4869     0.1606
  -42.9813   -21.9210   -28.1154   -43.0520   -21.7345   -28.1306     0.2001
   39.0886    -2.2644   -11.5238    39.0932    -2.3388   -11.5834     0.0955
   -6.3648     6.9571   -10.6219    -6.3346     7.0120   -10.6242     0.0627
  -34.1752   -26.5988   -35.1226   -34.2657   -26.4265   -35.1536     0.1971
  -39.0820   -16.3590    -4.2749   -39.1135   -16.2215    -4.2843     0.1414
  -10.5412     1.0055    53.9484   -10.4655     0.9690    53.9414     0.0843
   -1.1841   -21.4792   -29.2203    -1.2530   -21.4108   -29.2738     0.1109
   -0.7976    12.7440    55.3781    -0.6866    12.6778    55.3809     0.1293
   34.2651    20.1714   -15.0319    34.3302    20.1174   -15.0507     0.0867
   26.7909    -4.8496    13.5789    26.8121    -4.9290    13.5269     0.0972
   20.4188     8.5887    39.4982    20.5033     8.4868    39.4743     0.1345
  -42.6350    -0.1698   -24.6387   -42.6402     0.0112   -24.6189     0.1821
   36.2638    -5.2644   -15.0040    36.2564    -5.3253   -15.0659     0.0871
   16.4036    20.2527    26.8019    16.5089    20.1831    26.8005     0.1262
    5.8655    -7.6786    69.7775     5.9325    -7.7878    69.7413     0.1331
   39.3848     2.9727     8.9310    39.4243     2.8650     8.8799     0.1256
   13.5276    20.6110    26.4211    13.6335    20.5503    26.4229     0.1220
  -10.5520     1.7352    57.0510   -10.4712     1.6938    57.0451     0.0910
   14.1027   -10.0252   -21.1457    14.0749   -10.0130   -21.1947     0.0577
  -10.2195     0.1081    50.0894   -10.1501     0.0768    50.0805     0.0767
  -38.9460    -2.8635    -7.5489   -38.9422    -2.7205    -7.5366     0.1436
    0.8988   -13.6635   -24.3494     0.8570   -13.6084   -24.3920     0.0812
   17.1153    24.0590   -16.0301    17.1899    24.0559   -16.0267     0.0747
    5.3542   -11.8956   -22.3265     5.3195   -11.8564   -22.3704     0.0682
   38.0996    -1.2109   -20.4038    38.0986    -1.2683   -20.4609     0.0810
   -9.6645   -31.4598   -23.4488    -9.7566   -31.3767   -23.5104     0.1385
   24.4725    26.3007   -27.4773    24.5427    26.2950   -27.4772     0.0704
  -17.0861    -5.3579     2.4053   -17.0789    -5.2936     2.3933     0.0658
   21.4409    -9.1541   -24.1525    21.4130    -9.1581   -24.2070     0.0614
    3.5620    -9.8777    69.1738     3.6220    -9.9795    69.1361     0.1239
   -4.2115   -20.0110    -9.9932    -4.2577   -19.9645   -10.0411     0.0812
  -43.4670   -16.4211   -10.3894   -43.5048   -16.2613   -10.3949     0.1644
   -0.4353    -9.7876    64.5226    -0.3797    -9.8704    64.4888     0.1053
  -28.6655   -21.6030    -1.0367   -28.7085   -21.5008    -1.0642     0.1143
   -9.2577    -5.3559    23.2550    -9.2299    -5.3474    23.2360     0.0347
  -46.0404   -17.7558   -23.3786   -46.0947   -17.5679   -23.3840     0.1957
  -19.8729   -28.9086    -6.5388   -19.9417   -28.8231    -6.5865     0.1197
    3.7389    23.3472    22.0105     3.8479    23.3218    22.0258     0.1130
   40.8390     5.1845   -12.3313    40.8642     5.1067   -12.3805     0.0954
   23.7904    16.6754   -32.2502    23.8285    16.6788   -32.2651     0.0410
   34.9796    10.3127   -30.3576    35.0018    10.2807   -30.3933     0.0528
   17.1147    14.7873   -17.0112    17.1619    14.7854   -17.0228     0.0486
   -2.6634   -14.9571    -1.1456    -2.6865   -14.9289    -1.1866     0.0549
  -16.7280    -1.6452    -0.3709   -16.7129    -1.5774    -0.3772     0.0698
  -25.0982     4.7471   -12.1707   -25.0766     4.8581   -12.1591     0.1137
  -43.2267    -8.8597    -8.3530   -43.2409    -8.7034    -8.3465     0.1571
   -6.3803    -2.0185   -34.8565    -6.3993    -1.9253   -34.8736     0.0967
  -27.0751    -8.0049    -2.8757   -27.0809    -7.9037    -2.8828     0.1017
   20.1680    -7.4597   -25.8285    20.1432    -7.4573   -25.8791     0.0564
  -40.6526   -21.5889   -33.3117   -40.7273   -21.4008   -33.3286     0.2032
   25.2667     2.7293   -31.9619    25.2652     2.7274   -32.0008     0.0390
  -13.6205   -30.2574   -32.7941   -13.7184   -30.1479   -32.8502     0.1572
  -37.0229   -29.5685   -21.5989   -37.1089   -29.4098   -21.6319     0.1835
   25.4358   -16.5603   -13.9688    25.3968   -16.5923   -14.0389     0.0864
  -43.3464    -1.8036   -29.1722   -43.3607    -1.6134   -29.1544     0.1915
   -4.7026    -5.3971   -29.8250    -4.7264    -5.3168   -29.8491     0.0871
  -16.3687    -5.4285     3.1406   -16.3609    -5.3675     3.1278     0.0629
   -4.1906   -19.7357    -9.4756    -4.2355   -19.6901    -9.5231     0.0797
   -5.3426    25.2284    24.8535    -5.2258    25.2246    24.8804     0.1199
   13.9819   -13.6531   -17.6587    13.9472   -13.6462   -17.7134     0.0652
   23.4207    10.0668    28.3144    23.4987     9.9742    28.2899     0.1235
  -10.3153   -19.7680    -3.7230   -10.3549   -19.7140    -3.7647     0.0789
  -10.2086    -4.4626    62.3122   -10.1403    -4.5137    62.2961     0.0867
    9.5973    17.1982    59.0420     9.7250    17.0966    59.0424     0.1632
   -9.4775     3.7125   -31.8528    -9.4773     3.8101   -31.8577     0.0977
    2.2301    15.1553    50.5653     2.3434    15.0882    50.5692     0.1317
   16.8624    -4.8223    26.5501    16.8959    -4.8939    26.5076     0.0897
    0.1131    -9.0983    38.7423     0.1456    -9.1415    38.7087     0.0637
   -3.2627   -22.9652   -13.4622    -3.3207   -22.9160   -13.5159     0.0930
  -11.1317   -29.9667   -10.9391   -11.2075   -29.8993   -10.9967     0.1166
  -27.7120   -29.1496   -36.1455   -27.8106   -28.9943   -36.1867     0.1884
  -11.2148    17.1177    11.4052   -11.1345    17.1518    11.4242     0.0893
   -1.1649    -6.8835   -27.0272    -1.1900    -6.8180   -27.0569     0.0763
    5.7068    17.2205    44.4710     5.8202    17.1533    44.4749     0.1319
