400, PA5-H-Unknown-Output.txt
    4.4780,   -18.4939,     6.7814,   -22.3074,    33.2305,    -0.7161
   -9.6142   -30.0447   -32.5286    -9.5405   -30.0026   -32.6094     0.1171
    2.6644    23.1507    -2.6574     2.5728    23.1519    -2.5904     0.1135
  -10.7216    11.4694   -34.5228   -10.7679    11.5164   -34.4922     0.0727
  -31.4095    -0.9897   -17.5255   -31.4267    -1.0495   -17.5342     0.0628
  -27.3918     6.3096   -38.8959   -27.4222     6.3193   -38.8844     0.0339
   15.9443    -1.4305   -24.3021    15.9326    -1.3340   -24.2979     0.0972
   -6.5391    20.7478    57.2801    -6.6459    20.5612    57.3397     0.2231
   30.3406    14.4067    14.9537    30.2690    14.4408    15.0060     0.0950
   -6.2315     8.3873   -10.2951    -6.2777     8.3821   -10.2707     0.0524
    4.1583   -11.6257     8.6575     4.1638   -11.6527     8.6318     0.0377
  -24.0028   -24.8488   -17.3098   -23.9503   -24.8892   -17.3804     0.0968
   13.2119    22.6712    36.1084    13.1079    22.5992    36.1785     0.1446
   32.9893    -6.6854     6.8563    32.9821    -6.6232     6.8524     0.0627
    8.2554    -2.6887   -13.9643     8.2433    -2.6426   -13.9655     0.0477
   -9.8745    14.7886    10.0464    -9.9468    14.7187    10.0875     0.1087
   11.4480    24.2488    43.0591    11.3368    24.1531    43.1331     0.1643
    6.4953    -6.1806    43.9066     6.4721    -6.2950    43.8973     0.1171
    2.0431    -9.0995   -24.0626     2.0531    -9.0448   -24.0832     0.0593
  -26.0998   -22.2393   -16.1990   -26.0554   -22.2886   -16.2632     0.0923
  -11.9870   -11.1115   -51.0045   -11.9618   -11.0255   -51.0356     0.0948
   18.6287    -9.7987     1.1105    18.6322    -9.7631     1.0938     0.0394
   -5.9057    19.2806    56.9520    -6.0082    19.0967    57.0078     0.2178
   -4.1525   -24.0618   -24.8870    -4.0989   -24.0239   -24.9498     0.0909
  -30.4355   -12.8288   -46.2671   -30.4076   -12.8095   -46.3082     0.0533
  -32.9694   -21.0302   -35.4310   -32.9217   -21.0479   -35.4946     0.0814
    3.8805   -15.2711   -12.2970     3.9043   -15.2430   -12.3333     0.0517
   18.8734    -9.1889     3.7968    18.8741    -9.1598     3.7819     0.0327
   30.6450    -8.8018    13.4478    30.6415    -8.7643    13.4377     0.0390
   -8.1532    29.6731    33.2726    -8.2773    29.5469    33.3550     0.1953
    6.4065   -15.5519    -6.5456     6.4291   -15.5318    -6.5817     0.0471
  -13.7130     9.9932     2.8031   -13.7689     9.9311     2.8300     0.0877
  -22.3794    10.6663   -22.7068   -22.4282    10.6474   -22.6816     0.0581
   32.5677     7.4503    27.7328    32.5118     7.4562    27.7675     0.0661
   12.1015    21.2396    59.5299    11.9930    21.1014    59.5966     0.1879
   -6.3136    16.3333     9.1312    -6.3899    16.2763     9.1775     0.1060
   10.4551    25.8001    26.5071    10.3454    25.7460    26.5845     0.1447
  -29.4499   -16.7727   -14.7744   -29.4220   -16.8353   -14.8248     0.0850
    0.0946   -17.3158   -13.5418     0.1247   -17.2955   -13.5848     0.0562
   14.6772   -10.4427   -24.8248    14.6919   -10.3491   -24.8452     0.0969
   12.8463    -5.1296    60.0823    12.8144    -5.2688    60.0782     0.1429
  -13.1710     8.0770   -43.5369   -13.2043     8.1408   -43.5165     0.0748
   17.7569   -13.6110    -9.6638    17.7754   -13.5494    -9.6914     0.0700
    8.2047     1.7900   -15.4018     8.1802     1.8402   -15.3910     0.0569
  -22.1573   -26.8911   -36.3704   -22.0919   -26.8751   -36.4466     0.1017
  -12.9185   -29.8769   -35.1774   -12.8444   -29.8373   -35.2587     0.1169
    2.8664   -15.3373   -20.5597     2.8934   -15.2900   -20.5967     0.0659
  -14.5668   -21.0114   -11.7072   -14.5272   -21.0390   -11.7644     0.0749
   -2.0859   -19.0701   -40.5246    -2.0409   -18.9839   -40.5737     0.1090
    1.9588     0.7002   -18.0949     1.9382     0.7393   -18.0890     0.0446
  -22.1633    -2.7136   -47.2247   -22.1642    -2.6669   -47.2361     0.0481
   24.4330    -6.5264    33.6228    24.4153    -6.5609    33.6176     0.0392
  -31.6281     5.4278   -22.6886   -31.6620     5.3816   -22.6802     0.0579
    5.6510   -16.5634    -9.3676     5.6775   -16.5381    -9.4068     0.0537
  -27.5587   -25.0786   -35.0011   -27.4992   -25.0819   -35.0740     0.0941
   10.9669    -6.0608    32.6808    10.9477    -6.1320    32.6728     0.0743
    9.4626    -6.8582    20.5170     9.4501    -6.9013    20.5060     0.0462
  -13.4871    -7.2582   -50.4167   -13.4733    -7.1779   -50.4378     0.0841
   -1.9840     7.2243    52.4121    -2.0495     7.0632    52.4365     0.1756
   32.9186    11.5644     2.0235    32.8601    11.6406     2.0686     0.1061
  -30.9862   -13.7657   -46.9869   -30.9553   -13.7460   -47.0307     0.0571
   20.2808    -6.2311    49.3667    20.2563    -6.3200    49.3616     0.0923
  -29.2722   -22.6979   -19.1596   -29.2255   -22.7485   -19.2261     0.0957
    7.4196    -6.9964    17.8608     7.4084    -7.0384    17.8488     0.0450
   -1.9946     5.5489   -18.5951    -2.0293     5.5782   -18.5773     0.0487
   -2.6739     9.5121    59.3633    -2.7487     9.3305    59.3939     0.1988
   12.4534   -13.8295   -16.1350    12.4747   -13.7659   -16.1649     0.0734
   -2.5512    -0.2243    53.5623    -2.5955    -0.3906    53.5665     0.1722
   23.9946    10.1971   -17.4588    23.9469    10.2994   -17.4207     0.1191
  -38.6682   -15.2629   -35.8865   -38.6373   -15.2955   -35.9363     0.0671
   29.3593    15.6851    52.1942    29.2703    15.6165    52.2509     0.1258
  -10.5407   -26.5847   -40.9995   -10.4740   -26.5224   -41.0715     0.1162
   -6.2708    21.3562    19.9245    -6.3657    21.2706    19.9847     0.1412
   28.9934    16.2182    13.5720    28.9170    16.2522    13.6288     0.1011
   -0.0123     7.6612    -3.0168    -0.0587     7.6546    -2.9923     0.0530
  -26.5210    10.4898   -23.0332   -26.5693    10.4598   -23.0097     0.0616
   -7.3237    29.9523    34.5486    -7.4490    29.8251    34.6321     0.1971
   -4.0688    11.8249    -5.3190    -4.1266    11.8129    -5.2845     0.0684
   27.4887    10.8226    59.4407    27.4111    10.7289    59.4839     0.1291
  -28.6596    -4.7579   -15.0293   -28.6666    -4.8167   -15.0472     0.0618
   -2.0478    14.7570    -0.5893    -2.1158    14.7384    -0.5463     0.0827
    0.9865   -13.3407     2.5757     0.9991   -13.3608     2.5442     0.0394
