400, PA5-J-Unknown-Output.txt
   13.8920,   -10.7430,     7.1381,     8.8698,     2.7237,    -2.7372
    9.8934    -3.2893    64.2173     9.9089    -3.5031    64.2210     0.2145
  -14.0160     2.6062   -46.4632   -13.9814     2.8228   -46.4477     0.2199
    1.6553   -17.8042   -14.0243     1.5746   -17.7685   -14.0606     0.0954
  -20.8155   -11.2766   -53.2048   -20.8652   -11.0045   -53.2256     0.2774
   10.0025    13.4875    63.5464    10.1177    13.2777    63.5937     0.2440
   -4.4306    16.6286    33.0677    -4.3023    16.5842    33.1221     0.1462
  -34.1606   -30.8988   -36.1412   -34.3269   -30.5951   -36.2127     0.3535
  -23.6067   -21.2058    -6.4400   -23.7105   -21.0403    -6.4853     0.2006
  -23.4471     7.5850   -43.7172   -23.3840     7.8514   -43.6887     0.2752
   30.1446    -0.8288     5.5891    30.1711    -1.0104     5.5980     0.1837
   13.1156    24.8021    32.8776    13.2950    24.6553    32.9535     0.2439
    9.6512    10.3118    -4.9640     9.7397    10.2814    -4.9269     0.1007
  -33.2558    10.0920   -29.4516   -33.1777    10.3801   -29.4164     0.3006
  -27.4235    -1.1204    -9.3334   -27.4088    -0.9212    -9.3267     0.1999
    4.1309    16.5038    57.6068     4.2625    16.3448    57.6617     0.2135
  -37.5693     3.8588   -40.9076   -37.5301     4.2011   -40.8890     0.3451
  -21.0377   -35.5862   -27.5219   -21.2290   -35.3837   -27.6051     0.2907
   -1.2537    -4.3462    42.9398    -1.2484    -4.4387    42.9400     0.0927
  -39.6318     4.4780   -34.2852   -39.5885     4.8156   -34.2648     0.3409
    5.4427    17.5266    57.2338     5.5805    17.3610    57.2913     0.2230
  -27.7764    12.5183   -25.8694   -27.6826    12.7649   -25.8277     0.2672
  -30.9434   -34.4458   -23.5734   -31.1290   -34.1945   -23.6537     0.3225
   -8.9664     9.8646   -36.2476    -8.8868    10.0259   -36.2128     0.1832
   15.6285    -1.0619    62.3917    15.6579    -1.3047    62.4013     0.2448
   28.2239    15.0459   -10.6769    28.3426    14.9207   -10.6273     0.1795
   -5.7176   -25.8635   -35.3387    -5.8497   -25.7301   -35.3967     0.1965
   15.8615    26.5428    -6.9274    16.0471    26.4834    -6.8480     0.2105
   17.9249     4.4537    61.8618    17.9874     4.1996    61.8858     0.2628
   -3.3667    -7.9196   -26.2427    -3.3908    -7.8207   -26.2537     0.1025
  -21.6565     4.5901   -12.0886   -21.6074     4.7632   -12.0670     0.1812
   13.2106     4.4624   -22.3942    13.2629     4.4551   -22.3727     0.0571
  -11.9871   -32.6594   -33.4589   -12.1604   -32.4948   -33.5345     0.2506
    7.0412    -7.5807    49.9160     7.0292    -7.7413    49.9082     0.1612
   -5.4711     7.7346    13.5378    -5.3981     7.7455    13.5685     0.0800
  -16.7170   -26.9076   -10.0710   -16.8541   -26.7746   -10.1311     0.2003
   -6.1280     2.0334   -30.6528    -6.0939     2.1619   -30.6381     0.1338
  -39.6145    -6.5766   -11.0559   -39.6343    -6.3014   -11.0636     0.2760
   11.8386     3.2922   -22.3762    11.8838     3.2927   -22.3577     0.0488
    8.5745    22.3678    12.5076     8.7364    22.3005    12.5766     0.1885
  -13.3087     4.5259   -45.6086   -13.2625     4.7365   -45.5880     0.2165
  -38.1671   -26.7023   -37.1644   -38.3092   -26.3715   -37.2250     0.3652
   -3.0835     2.4901    53.5474    -3.0367     2.3820    53.5657     0.1191
   10.7496    -8.6013    15.1077    10.7282    -8.6937    15.0963     0.0955
   12.7103    -4.5584    45.9579    12.7166    -4.7419    45.9579     0.1835
  -29.0521   -35.0571   -25.4156   -29.2411   -34.8123   -25.4975     0.3199
   21.8945    22.9744    -7.2789    22.0598    22.8794    -7.2088     0.2032
  -33.8697   -27.9395   -40.3833   -34.0189   -27.6261   -40.4473     0.3530
  -14.7510   -23.5297    -8.8288   -14.8676   -23.4110    -8.8800     0.1741
   19.2966    25.3019    -4.8074    19.4756    25.2164    -4.7311     0.2126
   18.8024    11.6025    42.5309    18.9053    11.3946    42.5729     0.2357
    2.5209    -8.7692    55.3308     2.5018    -8.9171    55.3199     0.1496
   -6.9495   -19.5882    -5.8447    -7.0412   -19.5230    -5.8855     0.1197
  -38.0958   -16.8563    -8.5549   -38.1761   -16.5984    -8.5892     0.2723
  -21.9331    -3.4083   -52.9511   -21.9362    -3.1289   -52.9515     0.2795
   15.2645   -15.0457   -12.7662    15.2023   -15.0937   -12.7950     0.0837
  -17.0347   -30.2363   -43.7283   -17.1954   -30.0146   -43.7980     0.2826
   -1.4574    12.9468    39.9265    -1.3498    12.8663    39.9716     0.1417
  -29.9786   -21.5949   -49.7280   -30.0905   -21.2792   -49.7756     0.3383
   -3.7920     8.6940    -5.7808    -3.7152     8.7453    -5.7481     0.0980
   -0.2551   -23.7540   -30.5310    -0.3733   -23.6652   -30.5832     0.1569
    4.6838    15.1775    60.5930     4.8079    15.0073    60.6446     0.2169
  -32.1640     9.1565   -20.4887   -32.0902     9.4147   -20.4556     0.2705
    2.0197   -19.0997    -2.5366     1.9326   -19.0963    -2.5759     0.0956
    9.6306    23.8524     9.3160     9.8012    23.7874     9.3887     0.1965
   16.7308     0.1770    46.3518    16.7659    -0.0305    46.3642     0.2108
   15.8905    22.6638    34.6032    16.0578    22.4957    34.6737     0.2474
  -31.8162   -22.5912    -8.2972   -31.9297   -22.3723    -8.3463     0.2514
    9.7650    -6.9523    47.4327     9.7568    -7.1225    47.4265     0.1705
   29.3105     0.8845     8.0091    29.3474     0.7019     8.0225     0.1868
  -41.0953     4.2265   -28.2716   -41.0531     4.5571   -28.2517     0.3339
   -9.2725   -26.8406   -10.1393    -9.4081   -26.7517   -10.1991     0.1729
   -7.1897   -24.4606    -7.4640    -7.3105   -24.3905    -7.5176     0.1496
  -26.6132    -4.7639   -51.5560   -26.6249    -4.4605   -51.5599     0.3037
  -29.9899   -15.0100    -5.3366   -30.0577   -14.8083    -5.3659     0.2148
  -26.2444    14.0098   -30.3489   -26.1421    14.2593   -30.3034     0.2734
  -44.6557   -10.8837   -16.1992   -44.7024   -10.5659   -16.2183     0.3218
   23.5282   -14.6957    -9.6944    23.4696   -14.8007    -9.7221     0.1234
    0.6929    -6.5221    45.3968     0.6858    -6.6330    45.3915     0.1112
   -6.9467    28.9903    30.2953    -6.7457    28.9703    30.3817     0.2198
  -40.9995    -1.0500   -14.8859   -40.9870    -0.7556   -14.8794     0.2947
   19.5870    23.7608   -13.0116    19.7560    23.6946   -12.9395     0.1953
  -41.6455    -0.9186   -39.3755   -41.6352    -0.5568   -39.3693     0.3620
  -22.4231   -29.3545   -10.7678   -22.5757   -29.1862   -10.8344     0.2367
   16.3422    11.2695    60.7232    16.4448    11.0290    60.7648     0.2648
   20.9065   -13.9644    -3.4653    20.8526   -14.0699    -3.4910     0.1212
   17.7699    13.4338    46.9573    17.8841    13.2209    47.0041     0.2461
   30.4226     9.6565   -15.1748    30.5091     9.5290   -15.1393     0.1581
  -44.0854   -10.1321   -15.0258   -44.1274    -9.8206   -15.0429     0.3148
   20.5401    -3.7174   -26.5901    20.5444    -3.7588   -26.5899     0.0417
  -31.3544   -29.2015   -40.7290   -31.5108   -28.9023   -40.7961     0.3442
  -30.5821   -32.6543   -36.6092   -30.7584   -32.3710   -36.6852     0.3422
  -39.0972     0.4283   -42.1510   -39.0788     0.7824   -42.1414     0.3547
   13.5903    10.9689   -19.4900    13.6817    10.9529   -19.4515     0.1004
   -9.7616   -20.8123    -8.6376    -9.8613   -20.7233    -8.6817     0.1408
   22.8924    -8.1316   -22.3850    22.8713    -8.1987   -22.3961     0.0712
   28.9139     3.0872   -20.4680    28.9606     2.9813   -20.4498     0.1172
   19.1177     8.4962    40.4823    19.2019     8.2912    40.5162     0.2242
  -10.6138   -30.4211   -33.6243   -10.7736   -30.2639   -33.6941     0.2348
   15.1983    24.2129    32.4715    15.3745    24.0547    32.5460     0.2482
    4.6018   -18.9669    -8.6035     4.5152   -18.9631    -8.6427     0.0951
   -3.3112   -28.1688   -23.1478    -3.4553   -28.0818   -23.2113     0.1800
