150, PA5-K-Unknown-Output.txt
   -9.8757,     4.4090,     0.6432,   -10.5327,    15.3431,    -7.3362
   -3.8211    23.1877    39.2312    -3.7707    23.1665    39.2423     0.0558
   30.9428    22.1934     0.8542    30.9218    22.1913     0.7990     0.0591
   -8.4389    17.0703    43.6521    -8.3757    17.0465    43.6731     0.0708
   19.0545    19.8485    57.6878    19.1428    19.8471    57.6564     0.0937
   26.4364    -9.5851    -2.0622    26.4329    -9.5911    -2.1032     0.0416
  -21.5714    11.9133   -36.3343   -21.6564    11.8665   -36.2887     0.1072
  -32.9333    10.2148   -26.7431   -32.9990    10.1612   -26.6755     0.1084
  -28.3303   -21.2729   -43.5431   -28.4048   -21.3259   -43.4789     0.1118
   31.6305    -8.7096    -4.9121    31.6211    -8.7122    -4.9632     0.0520
  -30.4780   -25.9983   -20.4596   -30.5053   -26.0491   -20.3901     0.0903
  -36.8000    -6.5916   -42.0375   -36.8825    -6.6506   -41.9598     0.1278
   21.6765    -2.5122    42.7373    21.7528    -2.5142    42.7047     0.0830
   -5.8583     2.8099    53.8103    -5.7654     2.7896    53.8291     0.0970
   -5.5343    25.1385    32.4147    -5.4982    25.1149    32.4286     0.0453
   21.0928    26.6226    -2.0652    21.0628    26.6128    -2.1025     0.0489
  -20.6442     9.9679   -17.4019   -20.6918     9.9249   -17.3574     0.0781
  -10.9639    25.9011    29.3916   -10.9342    25.8731    29.4156     0.0474
   -0.3806    -6.3549    28.8524    -0.3282    -6.3754    28.8621     0.0571
    6.0317    11.0252    58.3308     6.1274    11.0144    58.3257     0.0965
    8.8347    23.7264    52.4188     8.9100    23.7167    52.4060     0.0770
   -6.2307    16.4739    50.6638    -6.1537    16.4528    50.6808     0.0816
  -38.0915     0.2849   -37.1209   -38.1698     0.2258   -37.0419     0.1259
   -7.6950     8.6719    43.3776    -7.6261     8.6485    43.3987     0.0757
   -9.4472    -8.8075     3.1986    -9.4418    -8.8389     3.2255     0.0417
   -9.7566    24.1826    17.1679    -9.7488    24.1533    17.1898     0.0373
  -36.9655   -13.0956   -14.9482   -36.9919   -13.1502   -14.8687     0.1001
  -18.3244   -28.6791   -20.4273   -18.3495   -28.7210   -20.3803     0.0677
   29.6818    22.4326    -3.1626    29.6529    22.4289    -3.2155     0.0604
   31.4479    -9.1082   -17.0390    31.4158    -9.1130   -17.0899     0.0603
   -0.7123   -14.7314   -35.6770    -0.7762   -14.7629   -35.6662     0.0721
  -30.2842     0.9973   -13.4908   -30.3181     0.9478   -13.4264     0.0880
   16.1413    23.3656    35.5227    16.1849    23.3584    35.4959     0.0517
  -28.6793   -12.0803   -47.2891   -28.7676   -12.1342   -47.2258     0.1213
   38.9001    -0.2694     0.8767    38.8956    -0.2657     0.8104     0.0665
  -25.5662   -28.5046   -33.1093   -25.6155   -28.5539   -33.0489     0.0923
  -34.1191   -24.0007   -33.6649   -34.1729   -24.0563   -33.5891     0.1084
   20.2984    19.6095    57.2350    20.3860    19.6090    57.2013     0.0939
   -9.1910     8.8938    33.9667    -9.1402     8.8678    33.9905     0.0618
   -9.6157     7.2804   -39.0391    -9.7022     7.2419   -39.0154     0.0976
   -8.1547   -19.7144   -13.9921    -8.1740   -19.7477   -13.9659     0.0466
    3.8763    24.8888    30.3947     3.9088    24.8718    30.3908     0.0370
    4.5283    24.1412    36.6870     4.5734    24.1257    36.6821     0.0479
   13.2834    20.6723    58.0826    13.3718    20.6668    58.0621     0.0909
   -2.8429    17.9330    -0.2596    -2.8635    17.9059    -0.2500     0.0354
   33.0137     1.9887    18.5231    33.0410     1.9910    18.4678     0.0617
  -19.1790     9.7652   -40.1280   -19.2695     9.7195   -40.0866     0.1096
   31.9340     6.0627    22.3103    31.9655     6.0649    22.2564     0.0624
  -14.9195    11.8726   -31.6508   -14.9954    11.8314   -31.6177     0.0925
  -18.7718     8.3401   -14.8998   -18.8134     8.2989   -14.8585     0.0717
   -2.6461    23.3206    40.4997    -2.5933    23.3004    40.5086     0.0572
   30.9838    -8.0188   -20.9671    30.9434    -8.0246   -21.0173     0.0647
  -15.9289    18.6892    16.0002   -15.9195    18.6552    16.0348     0.0493
  -40.1496    -8.9323   -18.2390   -40.1853    -8.9897   -18.1542     0.1085
   -6.3371   -19.1725   -15.1083    -6.3589   -19.2047   -15.0857     0.0449
   19.7537    -2.2825    57.0347    19.8570    -2.2836    57.0060     0.1072
   -6.7006    -7.1921    20.4136    -6.6637    -7.2186    20.4353     0.0503
   13.4199    22.6211    57.4617    13.5056    22.6156    57.4405     0.0885
   19.0087    26.8971     2.8441    18.9878    26.8865     2.8107     0.0408
  -19.2748     3.6012    -3.7293   -19.2918     3.5614    -3.6860     0.0611
   -8.0992    12.9435    43.5073    -8.0333    12.9198    43.5284     0.0732
  -12.8125    -7.4292     2.9405   -12.8087    -7.4631     2.9735     0.0475
  -30.0551   -26.7707   -22.8448   -30.0864   -26.8216   -22.7760     0.0911
   -4.5588    -3.2553   -43.8935    -4.6467    -3.2909   -43.8776     0.0962
    7.3677    -6.1079    20.4770     7.4042    -6.1241    20.4718     0.0402
   -5.5445     3.1108    55.9968    -5.4476     3.0911    56.0150     0.1005
  -22.1093   -11.9631   -48.6230   -22.2002   -12.0124   -48.5723     0.1151
   19.6094    16.6634   -33.0374    19.5279    16.6473   -33.0706     0.0894
    5.9760    24.1156    36.6270     6.0210    24.1011    36.6193     0.0479
   22.4270    19.2622    44.7227    22.4912    19.2611    44.6849     0.0745
  -27.2075    12.2680   -23.0570   -27.2677    12.2193   -23.0006     0.0958
   13.3061    -5.1815    37.7264    13.3747    -5.1905    37.7101     0.0711
